Naslov;Lokacija;Obcina;Cena;VelikostM2;ZemljisteM2;StSob;LetoGradnje;EnergetskiRazred;CenaNaM2;VrstaObjekta;DatumScrapa;Url
KRANJ, URBANA IN MIRNA LOKACIJA;Kranj;;717000;300.0;653.0;;1940;;2390.0;Samostojna;2026-04-06 16:24:06;https://www.nepremicnine.net/oglasi-prodaja/kranj-urbana-in-mirna-lokacija-hisa_7278718/
KRANJSKA GORA;Kranjska Gora;;495000;115.0;168.0;;1973;;4304.35;Samostojna;2026-04-06 16:24:06;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-hisa_7120043/
KRANJSKA GORA;Kranjska Gora;;495000;117.59;1708.0;;1973;;4209.54;Samostojna;2026-04-06 16:24:06;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-hisa_7291970/
KRANJSKA GORA;Kranjska Gora;;425000;154.0;30.0;;2025;;2759.74;Trojček;2026-04-06 16:24:06;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-hisa_7308724/
KRANJSKA GORA;Kranjska Gora;;455000;156.0;30.0;;2025;;2916.67;Trojček;2026-04-06 16:24:06;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-hisa_7308729/
KRANJSKA GORA;Kranjska Gora;;650000;192.75;1515.0;;1995;;3372.24;Samostojna;2026-04-06 16:24:06;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-hisa_7014790/
KRANJSKA GORA;Kranjska Gora;;1490000;218.0;;;1948;;6834.86;Samostojna;2026-04-06 16:24:06;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-hisa_6965391/
KRANJSKA GORA;Kranjska Gora;;740000;236.0;899.0;;1981;;3135.59;Samostojna;2026-04-06 16:24:06;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-hisa_6971940/
KRANJSKA GORA;Kranjska Gora;;900000;248.0;667.0;;1962;;3629.03;Samostojna;2026-04-06 16:24:06;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-hisa_7292457/
KRANJSKA GORA;Kranjska Gora;;900000;248.8;667.0;;1962;;3617.36;Samostojna;2026-04-06 16:24:06;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-hisa_7119932/
KRANJSKA GORA;Kranjska Gora;;1050000;305.0;831.0;;1926;;3442.62;Samostojna;2026-04-06 16:24:06;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-hisa_7304227/
KRANJSKA GORA;Kranjska Gora;;2500000;305.0;1229.0;;2001;;8196.72;Samostojna;2026-04-06 16:24:06;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-hisa_7281893/
KRANJSKA GORA;Kranjska Gora;;1630000;335.0;534.0;;1969;;4865.67;Samostojna;2026-04-06 16:24:06;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-hisa_6999418/
KRANJSKA GORA;Kranjska Gora;;3200000;350.0;900.0;;2005;;9142.86;Samostojna;2026-04-06 16:24:06;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-hisa_7293554/
KRANJSKA GORA;Kranjska Gora;;1050000;375.0;831.0;;1926;;2800.0;Samostojna;2026-04-06 16:24:06;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-hisa_6847497/
KRANJSKA GORA;Kranjska Gora;;2490000;590.0;;;1948;;4220.34;Samostojna;2026-04-06 16:24:06;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-hisa_6965393/
KRANJSKA GORA, GOZD MARTULJEK;Kranjska Gora;;625000;89.5;439.0;;1965;;6983.24;Dvojček;2026-04-06 16:24:06;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-gozd-martuljek-hisa_7298908/
KRIŽE;Križe;;274000;144.0;302.0;;2023;;1902.78;Dvojček;2026-04-06 16:24:06;https://www.nepremicnine.net/oglasi-prodaja/krize-hisa_6889858/
KRIŽE;Križe;;274000;144.0;588.0;;2023;;1902.78;Dvojček;2026-04-06 16:24:11;https://www.nepremicnine.net/oglasi-prodaja/krize-hisa_6666420/
KRNICA;Krnica;;350000;159.3;1042.0;;1965;;2197.11;Samostojna;2026-04-06 16:24:11;https://www.nepremicnine.net/oglasi-prodaja/krnica-hisa_7281883/
KROPA;Kropa;;419000;177.0;158.0;;2003;;2367.23;Dvojček;2026-04-06 16:24:11;https://www.nepremicnine.net/oglasi-prodaja/kropa-hisa_7302488/
KROPA;Kropa;;135000;220.0;50.0;;;;613.64;Samostojna;2026-04-06 16:24:11;https://www.nepremicnine.net/oglasi-prodaja/kropa-hisa_7308233/
KROPA;Kropa;;495000;270.0;402.0;;1900;;1833.33;Samostojna;2026-04-06 16:24:11;https://www.nepremicnine.net/oglasi-prodaja/kropa-hisa_7246374/
KROPA;Kropa;;258000;280.0;189.0;;;;921.43;Samostojna;2026-04-06 16:24:11;https://www.nepremicnine.net/oglasi-prodaja/kropa-hisa_6826465/
LAHOVČE;Lahovče;;315000;280.0;680.0;;2013;;1125.0;Samostojna;2026-04-06 16:24:11;https://www.nepremicnine.net/oglasi-prodaja/lahovce-hisa_7107342/
LANCOVO;Lancovo;;250000;203.2;1231.0;;;;1230.31;Samostojna;2026-04-06 16:24:11;https://www.nepremicnine.net/oglasi-prodaja/lancovo-hisa_7307414/
LESCE;Lesce;;439000;356.5;765.0;;1962;;1231.42;Samostojna;2026-04-06 16:24:11;https://www.nepremicnine.net/oglasi-prodaja/lesce-hisa_7281543/
LESCE;Lesce;;800000;505.1;1490.0;;2013;;1583.84;Samostojna;2026-04-06 16:24:11;https://www.nepremicnine.net/oglasi-prodaja/lesce-hisa_7209095/
LESCE;Lesce;;800000;539.0;149.0;;2013;;1484.23;Dvostanovanjska;2026-04-06 16:24:11;https://www.nepremicnine.net/oglasi-prodaja/lesce-hisa_7308269/
LESCE, CENTER;Lesce;;350000;200.0;371.0;;1919;;1750.0;Samostojna;2026-04-06 16:24:11;https://www.nepremicnine.net/oglasi-prodaja/lesce-center-hisa_6667632/
