VrstaObjekta;VelikostM2;LetoGradnje;EnergetskiRazred;Lokacija;ZemljisteM2;StSob;Url
Vrstna;169.0;2003;;Srednja Vas Pri Šenčurju;205.0;;https://www.nepremicnine.net/oglasi-prodaja/srednja-vas-pri-sencurju-blizina-narave-hisa_7293651/
Samostojna;64.1;1948;;Srednja Vas V Bohinju;6179.0;;https://www.nepremicnine.net/oglasi-prodaja/srednja-vas-v-bohinju-hisa_6964857/
Samostojna;804.5;1985;;Srednja Vas V Bohinju;913.0;;https://www.nepremicnine.net/oglasi-prodaja/srednja-vas-v-bohinju-hisa_7296496/
Samostojna;133.0;1900;;Stara Fužina;485.0;;https://www.nepremicnine.net/oglasi-prodaja/stara-fuzina-hisa_7066429/
Samostojna;213.4;2023;;Suha;450.0;;https://www.nepremicnine.net/oglasi-prodaja/suha-skofja-loka-hisa_7293682/
Samostojna;228.0;1990;;Sv. Andrej;3500.0;;https://www.nepremicnine.net/oglasi-prodaja/sv-andrej-hisa_7074941/
Dvostanovanjska;112.0;2025;;Šenčur;292.0;;https://www.nepremicnine.net/oglasi-prodaja/sencur-hisa_6903616/
Samostojna;150.0;2020;;Šenčur;603.0;;https://www.nepremicnine.net/oglasi-prodaja/sencur-hisa_7295760/
Trojček;169.0;2003;;Šenčur;205.0;;https://www.nepremicnine.net/oglasi-prodaja/sencur-hisa_7308221/
Vrstna;169.0;2003;;Šenčur;205.0;;https://www.nepremicnine.net/oglasi-prodaja/sencur-hisa_7308222/
Dvostanovanjska;173.6;2025;;Šenčur;215.0;;https://www.nepremicnine.net/oglasi-prodaja/sencur-hisa_6993028/
Dvojček;184.0;2026;;Šenčur;224.0;;https://www.nepremicnine.net/oglasi-prodaja/sencur-hisa_7278188/
Dvojček;184.0;2026;;Šenčur;123.0;;https://www.nepremicnine.net/oglasi-prodaja/sencur-hisa_7289886/
Dvojček;184.0;2026;;Šenčur;151.0;;https://www.nepremicnine.net/oglasi-prodaja/sencur-hisa_7289880/
Dvojček;184.0;2026;;Šenčur;151.0;;https://www.nepremicnine.net/oglasi-prodaja/sencur-hisa_7289885/
Dvojček;200.0;2026;;Šenčur;365.0;;https://www.nepremicnine.net/oglasi-prodaja/sencur-hisa_7289877/
Samostojna;325.0;2000;;Šenčur;500.0;;https://www.nepremicnine.net/oglasi-prodaja/sencur-hisa_7168634/
Trojček;160.8;2003;;Šenčur;205.0;;https://www.nepremicnine.net/oglasi-prodaja/sencur-blizina-sole-vrtca-hisa_7308306/
